time,pedestrians,bicyclists,cars,buses,trucks,location
2019-10-28T00:00:00-04:00,0,0,0,0,0,Campus_Dr_&_Presidential_Ave
2019-10-28T00:15:00-04:00,0,0,0,0,0,Campus_Dr_&_Presidential_Ave
2019-10-28T00:30:00-04:00,0,0,0,0,0,Campus_Dr_&_Presidential_Ave
2019-10-28T00:45:00-04:00,0,0,0,0,0,Campus_Dr_&_Presidential_Ave
2019-10-28T01:00:00-04:00,0,0,0,0,0,Campus_Dr_&_Presidential_Ave
2019-10-28T01:15:00-04:00,0,0,0,0,0,Campus_Dr_&_Presidential_Ave
2019-10-28T01:30:00-04:00,0,0,1,0,0,Campus_Dr_&_Presidential_Ave
2019-10-28T01:45:00-04:00,0,0,0,0,0,Campus_Dr_&_Presidential_Ave
2019-10-28T02:00:00-04:00,0,0,1,0,0,Campus_Dr_&_Presidential_Ave
2019-10-28T02:15:00-04:00,0,0,0,0,0,Campus_Dr_&_Presidential_Ave
2019-10-28T02:30:00-04:00,0,0,0,0,0,Campus_Dr_&_Presidential_Ave
2019-10-28T02:45:00-04:00,0,0,1,0,0,Campus_Dr_&_Presidential_Ave
2019-10-28T03:00:00-04:00,0,0,0,0,0,Campus_Dr_&_Presidential_Ave
2019-10-28T03:15:00-04:00,0,0,0,0,0,Campus_Dr_&_Presidential_Ave
2019-10-28T03:30:00-04:00,0,0,0,0,0,Campus_Dr_&_Presidential_Ave
2019-10-28T03:45:00-04:00,0,0,0,0,0,Campus_Dr_&_Presidential_Ave
2019-10-28T04:00:00-04:00,0,0,0,0,0,Campus_Dr_&_Presidential_Ave
2019-10-28T04:15:00-04:00,0,0,0,0,0,Campus_Dr_&_Presidential_Ave
2019-10-28T04:30:00-04:00,0,0,0,0,0,Campus_Dr_&_Presidential_Ave
2019-10-28T04:45:00-04:00,0,0,0,0,0,Campus_Dr_&_Presidential_Ave
2019-10-28T05:00:00-04:00,0,0,0,0,0,Campus_Dr_&_Presidential_Ave
2019-10-28T05:15:00-04:00,0,0,1,0,0,Campus_Dr_&_Presidential_Ave
2019-10-28T05:30:00-04:00,2,3,1,0,0,Campus_Dr_&_Presidential_Ave
2019-10-28T05:45:00-04:00,0,0,0,0,0,Campus_Dr_&_Presidential_Ave
2019-10-28T06:00:00-04:00,0,0,4,0,0,Campus_Dr_&_Presidential_Ave
2019-10-28T06:15:00-04:00,0,0,0,0,0,Campus_Dr_&_Presidential_Ave
2019-10-28T06:30:00-04:00,0,0,2,0,0,Campus_Dr_&_Presidential_Ave
2019-10-28T06:45:00-04:00,2,0,2,0,0,Campus_Dr_&_Presidential_Ave
2019-10-28T07:00:00-04:00,1,1,15,1,0,Campus_Dr_&_Presidential_Ave
2019-10-28T07:15:00-04:00,1,0,75,4,5,Campus_Dr_&_Presidential_Ave
