Day_Of_Week,Start_Date_Time,End_Date_Time,Event_Name,Location,Game_Binary,Homecoming_Binary
Monday,10/28/2019 10:00 AM,10/28/2019 5:00 PM,Homecoming Community Service Project,Ritchie Coliseum,0,1
Monday,10/28/2019 4:00 PM,10/28/2019 5:30 PM,Language House Coffee and Conversation,St. Mary's Hall,0,0
Monday,10/28/2019 5:00 PM,10/28/2019 7:00 PM,Purple Light Night,Hornbake Plaza,0,0
Monday,10/28/2019 6:00 PM,10/28/2019 7:00 PM,Monday Meditation,Memorial Chapel,0,0
Monday,10/28/2019 6:30 PM,10/28/2019 8:00 PM,ACTNow,Clarice Smith Performing Arts Center,0,0
Monday,10/28/2019 7:00 PM,10/28/2019 10:30 PM,Juke Joint: Homecoming Edition,Stamp Student Union,0,1
Monday,10/28/2019 7:30 PM,10/28/2019 9:30 PM,Big Band Showcase,Clarice Smith Performing Arts Center,0,0
Monday,10/28/2019 8:00 PM,10/28/2019 10:00 PM,Free Fall Movie,Stamp Student Union,0,0
Monday,10/28/2019 8:00 PM,10/28/2019 10:00 PM,TEMPO Contemporary Music Ensemble,Clarice Smith Performing Arts Center,0,0
Tuesday,10/29/2019 8:30 AM,10/29/2019 4:30 PM,Ensure a Clean and Healthy Chesapeake Bay,Stamp Student Union,0,0
Tuesday,10/29/2019 11:00 AM,10/29/2019 12:00 PM,Systematic Review Tools,McKeldin Library,0,0
Tuesday,10/29/2019 3:30 PM,10/29/2019 4:20 PM,Hack Your Brain,Edward St. John Center,0,0
Tuesday,10/29/2019 5:00 PM,10/29/19 6:00 PM,Fireside Chat with Stamp Director Marsha Guenzler-Stevens,Stamp Student Union,0,0
Tuesday,10/29/2019 5:00 PM,10/29/2019 9:00 PM,SGA Homecoming Crab Feast,The Diner,0,1
Tuesday,10/29/2019 6:00 PM,10/29/2019 9:00 PM,NetNite,Alumni Center,0,0
Tuesday,10/29/2019 7:00 PM,10/29/2019 9:00 PM,Tuesday Night Lights,Capital One Field,0,1
Tuesday,10/29/2019 8:00 PM,10/29/2019 9:00 PM,Free Fall Movie,Stamp Student Union,0,0
Wednesday,10/30/2019 11:00 AM,10/30/2019 3:00 PM,Farmers Market,Tawes Hall,0,0
Wednesday,10/30/2019 11:30 AM,10/30/2019 12:30 PM,AADHum Open Studio,Hornbake Library,0,0
Wednesday,10/30/2019 12:00 PM,10/30/2019 1:00 PM,Facilitating Investment in U.S. Transportation Infrastructure,James A. Clark Hall,0,0
Wednesday,10/30/2019 12:00 PM,10/30/2019 1:00 PM,How Do I Know if Entrepreneurship Is Right for Me?,Diamondback Garage,0,0
Wednesday,10/30/2019 2:30 AM,10/30/2019 3:30 PM,Managing US-China Relations in the Information Age,Stamp Student Union,0,0
Wednesday,10/30/2019 3:00 PM,10/30/2019 5:00 PM,Bikes Be Bright,Regents Drive Garage,0,0
Wednesday,10/30/2019 4:30 PM,10/30/2019 5:30 PM,Hidden Treasures of College Park: Homecoming Group Bike Ride,Regents Drive Garage,0,1
Wednesday,10/30/2019 5:00 PM,10/30/2019 6:00 PM,Seth Goldman Co-Founder & TeaEO Emeritus of Honest Tea Talk,Clarice Smith Performing Arts Center,0,0
Wednesday,10/30/2019 6:30 PM,10/30/2019 8:00 PM,Wicked Problems: Interactive Panel on Pressing Policy Problems,McKeldin Library,0,0
Wednesday,10/30/2019 7:00 PM,10/30/2019 8:30 PM,Royal Scottish Country Dance,Mathematics Building,0,0
Wednesday,10/30/2019 7:00 PM,10/30/2019 8:30 PM,"Race, Gender and New Challenges for Science Journalism",Knight Hall,0,0
Wednesday,10/30/2019 7:30 PM,10/30/2019 9:30 PM,High School Choir Invitational,Clarice Smith Performing Arts Center,0,0
Wednesday,10/30/2019 8:00 PM,10/30/2019 9:00 PM,SITI Company: The Bacchae,Clarice Smith Performing Arts Center,0,0
Wednesday,10/30/2019 8:00 PM,10/30/2019 10:00 PM,SEE Presents: Homecoming Comedy Show ft John Mulaney, ,0,1
Thursday,10/31/2019 1:00 PM,10/31/2019 3:00 PM,Introduction to SAS Programming,McKeldin Library,0,0
Thursday,10/31/2019 6:00 PM,10/31/2019 7:00 PM,Salsa & Bachata Dance Class,Stamp Student Union,0,0
Friday,11/1/2019 11:00 AM,11/1/2019 11:30 AM,Gallery Meditation,Stamp Student Union,0,0
Friday,11/1/2019 12:00 PM,11/1/2019 5:00 PM,Professional Track Faculty Symposium,Stamp Student Union,0,0
Friday,11/1/2019 3:00 PM,11/1/2019 4:30 PM,CMNS Ice Cream Social,Chemistry Building,0,0
Friday,11/1/2019 4:00 PM,11/1/2019 8:00 PM,Terp Carnival,McKeldin Mall,0,1
Friday,11/1/2019 7:30 PM,11/1/2019 10:30 PM,Men's Basketball,Xfinity Center,1,0
Friday,11/1/2019 8:00 PM,11/1/2019 10:00 PM,UMD Wind Orchestra,Clarice Smith Performing Arts Center,0,0
